mayfly	chironomid	simulium	ephemeroptera	killifish	cyprinus	diptera	piscivorous	mosquitofish	phalacrocorax	odonata	herbivorous	insectivorous	chub	lepomis	orthoptera
valid	invalidated	invalidate	invalidity	invalidation	invalidating	validly	unenforceable	null	expired	incorrect	validity	validator	erroneously	incorrectly	revalidation

multisearch
depart	depart	u.s._state	state_department	departmental	defense_department	interdepartmental	assistant	secretary	dept	division	department_head	justice_department	directorate	appointee	treasury_department
enchanter	necromancer	sorceress	mage	magician	warlock	enchant	sorcery	sith	minotaur	elven	magus	demon	conjurer	basilisk	oracular

aphrodisiac	syncarpous	bouyei	epipetalous	epacris	apocynaceae	dretful	doodia	moraba	hyposoter	grifola	meglitinide	homopteran	schizocarp	jasminum	saponin

human-centered	fuzzy	generative	rule-based	cybernetic	artificial	rationality	multiagent	game_theory	man-machine	robot	maximisation	intelligent	alife	adaptive	darpa

dressage	horsemanship	showjumping	equestrian	duathlon	warmblood	bronc	roping	steeplechase	bulldog	shoeing	motocross	pentathlon	heptathlon	mountain_biking	foal

frisk	spying	red-handed	arresting	manhunt	saboteur	undercover	suspect	incriminating	snitch	fugit	terror	mobster	fbi	goon	secret_service

valles	graben	tholus	rhyolite	volcano	tectonism	volcanic	volcanism	scarp	faulting	lobate	batholith	tuff	lava	syncline	rockfall

decant	coupler	healthy_lifestyle	bastard	lyricist	handlebar	invert	sonnet
sherd	faience	earthenware	creamware	steatite	stoneware	metalwork	amphora	metalware	ceramic	woodcarving	beadwork	mousterian	lithic	neolithic	carnelian
tandemly	paralogous	cons	exon	homolog	electrophoretically	repeat	florida	pogonophora	macronuclear	euchromatic	flatworms	intraspecies	archaebacterium	pericentric	i27

sax	diffractometer	x-ray_diffraction	diffract	laue	crystallographic	ellipsometry	spectroscopic	spectroscopy	photoemission	dispersive	photoluminescence	photoelectron	scattering	diffract	optically
arborist	arborist	arboricultural	forest	tree_planting	groundskeeping	tree_farm	planner	plant	lawn	silviculture	woodlands	hardwood	agriculturalist	seedlings	backyard
amaranthus	cocklebur	redroot	purslane	sicklepod	foxtail	weeds	digitaria	nightshade	brome	panicum	portulaca	toadflax	centaurea	cyperus	weedy
meeting	afric	conference	intersession	convening	wrap-up	all-day	reconvene	midwinter	ministerial	amm	daylong	convene	ecosoc	communique	session
pelley	pakin	harshbarger	darnell	charney	pruett	brad	ridley	dickerson	salmon	hickey	cates	meek	garnett
enroll	copayment	hmo	co-insurance	managed_care	capitated	disenroll	coinsurance	insurability	copay	precertification	insurer	policyholder	ffs	capitation	recoupment

daywear	sweater	single-breasted	overcoat	crewneck	charmeuse	sheepskin	shirt	sweatshirt	trousers	zip-up	pelisse	nightgown	strap	sennit	watercraft
grapple	grappling	wrestling	unafraid	quandary	stubborn	conundrum	thorny	pondering	ponder	tough	life-and-death	knotty	predicament	confront	grasping
depend	subgroup	debt	grandparents	unemancipated	civilian	borrow	household	custodian	bequest	noncitizen	guardian	convictions	refuge	black	indian
chordal	polyphony	fugue	scherzo	melodically	contrapuntal	microtonal	sonority	cadenza	andante	melodic	dissonant	trill	arpeggio	tritone	requiem
aristocrat	aristocratic	nobility	plantagenet	aristocracy	plebeian	courtier	seigneur	baronet	fief	haughty	patrician	aristocratical	nobleman	earldom	feudalism
planking	waterline	spar	seawall	watertight	midship	deck	inboard	i-beam	cofferdam	sheathing	caisson	precast	abutment	flange	collapsible
foodstuff	coupon	sandwich	starches	clothes	sweets	spread	juices	snack	carpet	blanket	cosmetics	scraps	perish	necessaries	fare


macon	norwood	gaskin	patrolman	dorchester	stark	llp	sally	caswell	dilger

bondholder	debenture	counterparty	reinsurer	nonbank	defeasance	collateralized	underwriter	interest-bearing	drawee	callable	unsponsored	cosigner	policyholder	insurer	registrant
two-piece	one-piece	ferrule	eyelet	waistband	flange	drawstring	neckline	bushing	stiffener	mandrel	contoured	placket	soldered	fastening	pickguard
nationalize	nationalisation	expropriation	expropriate	nationalise	agrarian	state-controlled	privatise	collectivization	privatization	serfdom	liber	privatize	nomenklatura	monopolistic	disinvestment

crescent	tropilaelaps	dismiss	green-white	broider	zari	tricolore	coact	single-breasted	drugget	splendor	cointension	flesh-coloured	skirmisher	sumangala	pickpocket
fornicator	harlot	temporal	lasciviousness	kind	lewdness	fornication	appear	uncleanness	sin	corporal	adulteress	lack	blasphemously	lechery	realm
suit	toolset	purpose-built	custom-built	deluxe	plug-and-play	stand-alone	lightspeed	off-the-shelf	kitchenette	platform	multiplatform	integrated	zend	guestroom	write
caddo	caddo	siouan	hidatsa	cahokia	arikara	iroquoian	algonquian	lifeway	quapaw	mississippian	athapaskan	choctaw	puebloan	salish	aztecs



tidal	vibrate	waves	wave_front	waterspout	swell	vibrating	cresting	billow	outwards	oscillating	pul	soliton	wavelike	rippled	elastically


cheerfulness	loveliness	worthily	amiable	rapturous	benignant	bestow	repine	blissful	contentment	unfailing	amiability	blessedness	mirth	affectionate	especial
heartsease	clethra	ageratum	harebell	osmanthus	bellwort	winterberry	helenium	tiarella	monarda	convallaria	zinnia	white-flowered	celosia	iridaceae	one-seeded
drinking_water	drink	drinker	potable	noncommunity	drunk	drinkable	water_system	water_consumption	drinking_age	alcohol	intoxicated	chlorin	water_supply	undrinkable	ingest


temporal_lobe	regatta	astrophysicist	co-author	lectureship	winnings	cheater	orsa	interkingdom

jolt	sudden	hypovolemic	anaphylactic	toxic_shock	recoil	overheat	violently	awe	blow	endotoxic	shock_wave	convulsion	shaken	harmlessly	quenched


graft	transplanting	autograft	plantlet	ingrowth	callus	rhizome	vegetatively	micropropagation	rootstock	autogenous	stolon	dural	debridement	hypocotyl	cytological
claudius	pompeius	agrippa	imperator	galba	brutus	gaius	agrippina	silius	flavius	sulla	nicephorus	augustus	antoninus	praetor	menander
background	star-forming	hii_region	magellanic	cloud	auroral	life_story	ionized	bronfenbrenner	qualitative	foreground	interviewee	hermaphrodism	synaesthesia	nonopaque	protected_area
turkish	baster	butterball	meleagris	adana	demirel	recep	kurdish	turgut	turk	kurdistan	izmir	gobbler	kurd	efe	gamebird
staircase	stairwell	entranceway	entryway	vestibule	passageway	stair	parapet	alcove	roofed	ground-floor	loggia	handrail	archway	balustrade	tiled
printmaker	draughtsman	painter	watercolorist	barbizon	lithographer	impressionist	engraver	titian	miniaturist	portraiture	draftsman	rouault	degas	water-colour	apprenticed

repressurize	nitrogen	hydrogen_sulphide	ma'anit	hydrogen_bomb	ammonia	hypercatabolic	gass	ultrafiltered	vaterite	gas_mask	gas_pump	gas_exchange	mixed_oxide	hydrogen_sulfide	paleothermometer
video_game	audio	camcorder	picture-in-picture	digital_video	playback	video_frame	footage	video_display	video_camera	camera	wide-screen	clip	video_arcade	closed-captioned	rewind

annapolis	delaware	chesapeake	potomac	virginia	watermen	mid-atlantic	montgomery	norfolk	john	philadelphia	washington_state	nanticoke	greenbelt	wilmington

clicking	right-click	double-click	right-click	drop-down	dropdown	double-click	button	click	left-click	pull-down	clickable	uncheck	select	checkbox	username
suzerain	vassal	frankish	overlordship	protectorate	fief	maratha	seleucid	dynastic	principality	khanate	kingship	mongols	avar	hohenstaufen	huns
indexed	indexing	index_card	stock_index	indic	indexable	retail_price	price_index	sorted	alphabetical	paasche	index_finger	refractive_index	normal	refractive	ratio
ultrasonography	sonographic	sonography	transvaginal	echocardiogram	ultrasonographic	palpate	angiogram	ultrasound	sonograph	cystoscopy	nuchal	transabdominal	auscultation	amniocentesis	vascularity

cassie	gaby	stark	kerrigan	stellan	hunky	bobbi	cagney	maxi	rowlands	germaine	nolte	paltrow	neeson	okey	cassavetes
cromwell	monarchist	roundhead	usurper	whig	jacobite	lancastrian	plantagenet	hanoverian	revolt	viscount	earldom	revolt	rebellion	jacobin	putsch

risc	microarchitecture	programmable	microcontroller	multicore	x86	fpga	processor	instruction_set	chip	vliw	superscalar	datapath	chipset	mips	submicron
capital_market	capital_gain	investment	working_capital	capital_account	invest	asset	undercapitalized	capitalization	state_capital	venture_capital	invest	outlay	ruble	depreciate	securitization
birdwatch	sparrow	songbird	aviary	perching	goldfinch	vultur	warbler	grosbeak	blackbird	chickadee	egret	nuthatch	feathered	chirping	tanager
exercising	exerciser	treadmill	aerobic	fitness	workout	jogging	exert	weight-bearing	in-basket	strenuous	ergometer	cardio	restraint	self-restraint	gymnast
provincia	hashemite	united	sate	emir	kingly	idumean	baronage	principality	kingship	magadha	suzerainty	amaziah	edomite	magian	protista

raphanus	cereal	cerastium	secale	lepidium	aucuba	medicago_sativa	vicia	hordeum	vulgar	dactylis	brassica	triticum_aestivum	echinochloa	trifoliata	polygonaceae
praising	admiration	effusive	plaudit	compliment	adulation	rejoicing	merited	deserved	praiseworthy	bestow	commendation	glory	worthy	flattery	laudation
bachelor	degree_program	licentiate	nondegree	coursework	master	accredited	graduated	b.a.	ba	diploma	master	baccalaureate	bs	mals	enrol
asuncion	amazona	curitiba	uruguayan	este	brazilian	argentinean	merida	sucre	henrique	ecuadorian	tuxtla	palacio	ecuadoran	brazil	gabonese
selberg	mainchain	paramagnetism	halfwave	uniaxially	pyroxenes	dorati	sondes	russellian	comodule	mendelevium	feldspar	cartesian	logician	s-process	k41
faster-than-light	qubit	subatomic	tachyon	teleport	wormhole	quantum	graviton	qed	trillionth	decoherence	quantum-mechanical	spacetime	wavefunction	telepathy	unperturbed

greece	athenian	hellenic	hellenism	miletus	hellenist	athen	hebraic	grecian	crete	hellenistic	cretan	salami	herodotus	ancient	b.c.e.
graduated	b.a.	degree	doctorate	bachelor	ba	earned	major	master	business_administration	bs	master	minor	laud	earning	baccalaureate
medline	self-archiving	open_access	crossref	highwire	scopus	apai	searchable	eprint	preprint	citeseer	ntis	backfile	e-resource	poplin	e-journal
green_party	yellow	green_room	blue	purple	greens	magenta	hue	red	green_paper	blue-green	pinkish	blue_grass	bluish	orange	coloration
whore	bitch	prostitute	flirt	sexless	dominatrix	promiscuous	prude	flirting	misogynistic	porno	pimp	lecherous	bimbo	transvestite	sadomasochism
bhai	meron	bhairav	bashi	loun	shankara	shirish	vardhan	balaji	khuda	pantelis	kushi	sandesh	catalani	balakrishna	sabar
haulage	railcar	cartage	tonne	trucker	tractor-trailer	semitrailer	truck	railway	hauler	larn	semi-trailer	tyre	motorway	cars	cabotage
sadak	despot	budukh	indonesian	mensheviks	samoan	nanshan
converting	conversion	converted	data_conversion	converter	energy_conversion	convertor	useable	translate	reformat	ascii	unconverted	hybrid_vehicle	generate	convert	repurpose
swashbuckling	fade	slow-witted	plucky	roguish	cutlass	beefcake	musketeer	burly	swaggering	berserker	targe	outrider	ragamuffin	mauler	cavort


gambling	barona	gaming	blackjack	hotel-casino	bingo	royal	keno	riverboat	racetrack	video_poker	gambler	baccarat	resort	comp	bordello

racecourse	filly	preakness	kentucky_derby	fairground	jockey	racehorse	thoroughbred	motocross	steeplechase	racetrack	regatta	pony	capper	racer	vaulter
double-entry	accounting	ledger	acct	receivable	fund_accounting	cash_register	checkbook	accountant	accounting_system	auditor	cost_accounting	cashiering	intragovernmental	general_ledger	misreport

dose	long-acting	prodrug	dosing	capecitabine	halflife	melphalan	amprenavir	unmetabolized	theophylline	cisplatin	dosed	doxorubicin	octreotide	iodine-131	verapamil
twopence	sixpence	pedlar	shilling	shill	threepence	stationer	door	keep	found	worshipful	fourpence	farthing	ninepence	gain	eightpence
scone	iced	tea	cake	breakfast	teatime	sipping	muffin	toasted	sip	sweetmeat	stewed	munch	breakfasting	buttered	sauced
oxymoron	flybys	decant	buffoon	mudflow
midshipman	gunner	hoist	aide-de-camp	gallant	boatswain	lieutenant-colonel	foremast	commandant	captain	salute	seaman	salut	aviator	cutlass	intrepidity
sprocket	pinion	bobbin	bakelite	pellicle	one-piece	armature	pneumatic	machined	pivot	two-piece	grooved	lathe	pewter	camshaft	tooled
owa	web_mail	gmail	hotmail	netmail	mailbox	inbox	whitelist	qmail	email_address	greylisting	newsreader	outbox	address_book	spamd	panix


jorgenson	bumper	terry	giering	steinhauser	robbi	daryll	peter	petersen	horn	unarguable	gammons	rob	near_miss	donnelly	tomlin

link	homepage	website	faq	hyperlink	hyperlink	webpage	list	page	bookmark	clickable	downloadable	searchable	browsable	printer-friendly	reference_book


glossophaga	glycolipid	saponin	lignin	allium	periblast	phenol	quinkan	herbalist	pollachius	typologist	neurohemal	hoser	darak	croissant	sanddab
lobster	scallop	oyster	dung	clam	shrimp	flounder	snapper	bluefish	rockfish	crabmeat	crayfish	abalone	hake	anchovy	parrotfish

qawwali	puri	durga	puja	sampradaya	bhajan	sahib	yatra	ustad	maha	veena	rajasthani	pandita	kali	gaya	gharana
turpentine	copal	carbon	stove	brazier	briquette	kiln	charring	calcined	earthenware	pulverized	bitumen	heartwood	sawdust	wood	resinous
by-product	pelleted	pendimethalin	starches	cereal	distil	kamut	corn_gluten	grain	pellet	nonedible	legum	monocarboxylic	soybean	nonnutritive	whole-wheat
tutankhamen	pharaoh	tut	amenhotep	abydos	hawass	egyptologist	mummy	rams	pharaonic	amun	necropolis	pyramid	karnak	canopic	mausoleum


sarvastivada	bhaskara	apastamba	pythagoreanism	prakrit	semitic-speaking	scholae	magadha	puja	brahmana	panchadasi	sanskrit	tirthankara	sumangala
fog	visible	luminaire	glare	conspicuity	reflectivity	headlamp	enhanced	viewshed	illumination	heighten	line-of-sight	luminance	enhance	spotter	viewfinder




charitable	donat	donat	tax-deductible	donate	donat	telethon	donation	zakat	fundraiser	needy	non-perishable	almsgiving	philanthropic	fundraise	underprivileged
customer_service	customer_care	cross-sell	cross-selling	upsell	call_center	resel	end-user	crm	service_provider	reseller	business-to-consumer	outsourcer	satisfaction	self-service	enablement

lybrand	touch	cooper	accounting_firm	consulting_firm	llp	management_consulting	cfo	firmwide	audit	analytics	consult	audit	accounting	controllership	broke


lithic	burin	midden	microlith	fossiliferous	chert	mousterian	calcrete	varve	subfossil	mesolithic	disarticulated	microfossil	ediacaran	datable	taphonomy

mutarotation	sorbet	candlestick	typedef	tricyclic_antidepressant	push-up	acalymma	opt	surrounds	flip-flops	subesophageal	starlet
falsity	irrefutable	prove	disprove	refutation	assertion	conclusive	theorem	provable	prove	axiom	counterexample	premiss	syllogism	cavil	valid
write	open-source	open_source	linux	microsoft	cross-platform	distro	gnome	ubuntu	porting	closed-source	app	freedesktop.org	x86-64	fedora	multiplatform
sensitiveness	insensibility	coldness	mortification	insensible	self-command	equanimity	feeble	weariness	impetuous	unwonted	impetuosity	indolence	self-possession	mortifying	unperceived
union	unionize	unionized	nonunion	afl-cio	iww	walkout	steelworker	union_member	picketing	unionization	steelwork	meatpacking	steelwork	labor_union	truckload

resentment	hostility	inflame	antipathy	enmity	antagonism	distrust	acrimony	jealousy	rancor	mistrust	resent	resentful	dissension	inflaming	uncivil
geophysics	seismology	tectonics	sedimentology	petrology	glaciology	geochemistry	geochronology	paleomagnetism	geomorphology	seismological	volcanism	volcanological	paleoclimatology	geodynamic	tectonically

bending	twisting	straighter	bent	straighten	stick	forefinger	stooping	backwards	skirt	crooked	dangle	tug	meander	squat	outstretched
monographic	podule	serial	voyager	serially	adapter	pinout	selector	monograph	mux	exaggerator	framebuffer	connector	microcode	scsi	character_device
methionine	threonine	leucine	asparagine	oleic	valine	proline	arginine	alanine	glycine	reductase	casein	digestibility	malate	microsomal	monensin
malicious	zero-day	rootkit	antivirus	spyware	virus	w32	unpatched	botnet	adware	phishing	hacker	pharming	computer_virus	honeypot	xss


poetic	poet	poem	literary	prose	fiction	verse	sonnet	lyrical	allusive	pentameter	bardic	writer	lyricism	nonfiction	storyteller
marketing_research	market_analysis	market_share	analytics	e-marketing	target_market	marketing	market	outsell	internet_marketing	comparison-shop	industry_analyst	psychographic	business_news	marketer	midmarket
placket	shirring	two-piece	camisole	v-neck	elastane	tankini	overcoat	neckline	frilled	nightgown	goldtone	twill	wrinkle-resistant	a-line	sleeveless

marmot	crabeater	vole	marten	goshawk	skua	eider	molothrus	carnivore	petrel	microtus	ornithology	fulmar	lepus	auk	yellow-bellied
defuse	simmering	defusing	tense	animosity	strained	inflame	simmer	confrontation	divisiveness	conflictive	complicate	ethnic	contradict	de-escalate	schism
system_administrator	administrators	network_administrator	manager	admin	approver	deputy	acting	redelegation	authorizer	superintendent	reassign	administration	assistant	admin	appointee

positive_feedback	occur	subconcept
viewgraph	presentation	handout	powerpoint	presenter	powerpoint	present	slide	webinar	preconference	wrap-up	minicourse	corkboard	slideshow	overview	brainstorm
airspeed	headwind	upwind	gust	wind	gusty	gust	dropsonde	yaw	low-altitude	downdraft	takeoff	aileron	subsonic	tailwind	geopotential
michif	tsimshian	uto-aztecan	na-dene	athapaskan	salish	siouan	iroquoian	sanskrit	algonquian	tlingit	patwin	athabaskan	dhegiha	kwakiutl	prakrit
collect	uncatalogued	collections	access	collecting	data_collection	bibliographer	conspectus	collected	nonbook	cataloged	curation	microfilm	tax_collection	collector	herbarium

rottweiler	spaniel	collie	pooch	mastiff	hound	dog	dachshund	doberman	sheepdog	canine	poodle	basset	sheltie	retriever	long-legged
hallucinogen	hallucinogenic	mind-altering	lsd	meditative	psychedelia	hallucinatory	mescaline	otherworldly	mind-expanding	introspective	minimalism	shamanic	trance	entheogen	dreamlike


pipit	towhee	spizella	bobolink	finch	yellowthroat	ovenbird	tanager	mycteria	nightjar	coccyzus	swallow	picoides	dowitcher	warbler	veery
illuminated	glare	glow	dim	incandescent	illumination	floodlight	flickering	lighted	candlepower	dimming	lamp	flashing	shine	lit	unlit
escalade	rockabilly	four-door	hillbilly	yearwood	pillion	honky	beat-up	darktown	debut	kilt	coupe	buckaroo	roadster	tricked-out	backwood
silverware	tableware	kitchenware	crockery	flatware	dishware	dinnerware	pewter	tablecloth	cookware	glassware	utensil	knickknack	creamware	lacquer	mache
funky	laid-back	jazzy	mellow	hipster	rockabilly	soulful	bluesy	trippy	danceable	ambience	classy	fave	artsy	jive	nightlife
tennessean	kentucky	alabama	bredesen	georgia	appalachian	cumberland	alabamian	appalachia	virginia	kentuckian	lamar	out-of-state	macon	texas	buckeye
farthest	sorceress	sorcerer	faerie	fairytale	paolini	troilus	fairy-tale	coming-of-age	enchanter	rapunzel	fantastical	shadows	picaresque	necromancer	vampiric
y2	σ	x0	coplanar	collinear	ψ	undoped	ordinate	θ	descender	jth	non-negative	xz	reciprocatory	trigonal	graben
roman_catholic	catholic_church	protestant	catholicism	jesuit	catholic_school	non-catholic	devout	anticlerical	priest	vatican	antireligious	episcopalian	fr	roman	pontifical
ficus	hibiscus	bougainvillea	frangipani	pandanus	plumeria	acrostichum	gardenia	ceiba	pagoda	sterculia	podocarpus	baobab	pometia	artocarpus	evergreen
laborer	laboring	socialistic	propertied	toiler	exploiter	labourer	monied	plutocrat	revolutionist	avaricious	idler	capitalistic	communistic	plutocracy	serf
lore	horn	lieutenant-colonel	woolnough	colonel	neal	mabie	gain	marianna	bolden	ex-slave	arna	winton	zora	comfort_zone	gross
knapper	quelea	pumbaa	amazonian	grandaunt	wagtail	gambol	globetrotting	howdy-do	cuddler	possum	bromberg	ornithologist
insightful	understanding	enlightening	thought-provoking	glean	delve	delving	perspective	illuminating	incisive	in-depth	nuanced	demystify	fruitfully	self-knowledge	critique


disjunction	presupposition	undecidability	determinate	disjunctive	undecidable	unconditioned	contradiction	definiteness	propositional	predicate	transcendental	concrescence	decidable	infinitive	transcendence
market_research	analytics	marketing	e-marketing	marketing_mix	market_analysis	internet_marketing	psychographic	database_marketing	survey_research	marketing_strategy	quantitative_research	management_consulting	biostatistical	interactive_marketing	target_market
earthquake	temblor	tsunami	bhuj	aftershock	epicentre	mudslide	epicenter	typhoon	seismically	tsunami	epicentral	nia	counterstrike	sumatra	engulf

ranitidine	colestipol	maleate	prokinetic	rifadin	antimotility	loperamide	cholestyramine	famotidine	nsaid	flagyl	antacid	nizatidine	probenecid	amlodipine	metoclopramide
brittleness	flaking	spongy	fragile	fibrous	pliable	roughened	ductile	friable	crazing	discolor	rubbery	shatter	encasing	crumbly	protrude
forward-thinking	leading-edge	strategize	webinar	partner	network	impactful	cofounder	business_development	partner	information_industry	alliances	leveraging	team	tech-savvy
glengarry	cairngorm	vale	loch	mountaineer	crag	gulch	climber	craggy	alpine	canyon	gale	ravin	chairlift	hiker	arrochar

exfoliation	epidermis	cuticle	exudate	dermis	keratin	epidermal	mucilage	meshwork	hydrophilic	sloughing	lipophilic	epithelium	water-soluble	stratum	pseudopodia
multiprocessing	multithread	hypervisor	bootload	schedulability	microkernel	programmability	multithreading	superscalar	event-driven	hyper-threading	microcontroller	multithreaded	blit	reprogrammable	interprocessor
francesca	silvia	celia	fernanda	eugenia	sabina	beatriz	luisa	tatiana	angelica	liliana	martine	emilia	stefano	valeria	pietro
hangtag	sticker	placard	license_plate	stick-on	affixed	sweatshirt	wristband	insignia	nametag	windshield	checkroom	parked	backglass	mope	sticker
latte	decaffeinated	cappuccino	espresso	caffeinated	mocha	applesauce	soymilk	iced	sugared	smoothie	sweetened	drink	sugar-free	unsweetened	confect



fairfield	upstate	jersey	rehoboth	flee	hazleton	cayman	trenton	uncrowded	queen	refuge	ironbound	out-of-the-way	tax_haven	westport	dorchester
singularity	epochal	s-shaped	receding	inflaton	converging	foreshadow	brane	posthuman	infinitesimal	aquarian	poised	outwards	homoclinic	metamorphosis	microcosmic
oilfield	oil_field	wildcatter	unleased	gasfield	oil_company	gas_pipeline	natural_gas	oil_shale	leaseholder	midcontinent	oil_industry	operatorship
halfpenny	sixpence	shilling	shill	farthing	fourpence	keep	half	behalf	soon	doone	threepence	afore	bairn	manie	week
spillway	embank	dam	dike	dam	coulee	levee	sluice	dam	hydroelectric	flood	floodwall	penstock	hydropower	floodwater	meander
incantation	enchant	doom	incant	spell	spelling	enchantment	mage	magic	magical	sorcerer	fainting	punctuate	sorcery	demon	ominous
prime	obuchi	minister	meles	hashimoto	recep	foreign_minister	nobutaka	miyazawa	morihiro	badawi	shaukat	bihari	takeshita	toshiki	aznar
embank	floodwater	distributary	deltaic	landward	gulli	low-lying	silt	berm	dam	diking	revet	levee	swale	floodwall	moat

yeerk	sauropod	kestrel	mosasaur	opt	mosquito	orangutan	hedgehog	allu	crawlies	spook	light_scattering
sinocentric	nativism	postnational	anticolonial	botlikh	hegemonism	separatism	barsamian	racialism	croats	anti-russian	herrenvolk	irredentism	reassertion	tribalism	eurocentrism
uranus	flytrap	venus_flytrap	jupiter	charon	scorpio	uranian	moon	neptune	pisces	saturnian	aries	astrologer	libra	zodiacal	minerva
predecessor	heir	appointed	relinquished	succeeding	reappoint	henceforth	unexpired	helm	appoint	relinquishing	consulship	archon	resign	succession	tarquinius
midland	east_midland	shropshire	grampian	tee	pennine
eprint	schema	fennel	muin	aquarelle	updateable	implement	map	intern	gtkmm
gnocchi	braised	ravioli	garlicky	prosciutto	marin	vinaigrette	tangy	sauteed	polenta	caramel	carpaccio	buttery	filet	flavorful	camembert
midland	shropshire	tyne	glamorgan	guildford	ayrshire	surrey	west_midland	parramatta	aberdeenshire	chiltern	dorset	antrim	grampian	aylesbury

guardsman	national_guard	guard	guard	bodyguard	coast_guard	adjutant	patrolled	old_guard	station	praetorian	sidearm	patrol	soldier	point_guard	rent-a-cop
meson	boson	gluon	nucleon	baryon	electroweak	pion	hadronic	supersymmetric	kaon	neutralino	qcd	fermionic	fermion	massless	exciton
selectable	toggle	windowing	preset	non-interactive	anti-aliasing	keypress	framebuffer	autofocus	shutter	xterm	limiter	8-bit	antialiasing	timecode	colormap


stopcock	flange	perforated	neoprene	hydraulically	perforate	riser	soldered	grommet	pneumatic	hose	cannula	piping	pipe	tube	downcomer


misfeasance	wrongdoing	mismanagement	incompetence	cronyism	mishandling	nonfeasance	cover-up	scandal	venality	impropriety	chicanery	egregious	irresponsibility	mendacity	baseless

gangrene	dropsy	rheumatism	catarrh	cellulitis	suppuration	diaphoretic	peritonitis	gangrenous	pericarditis	apoplexy	hemoptysis	sciatica	purulent	expectoration	abscess
portulaca	weeds	pigweed	parsnip	amaranthus	sambucus	digitaria	eupatorium	vulgar	cocklebur	officinal	lactuca	trifolium	plantago	cyperus	galium
checkerbloom	decant	medallion	manrico	treefish	mobster
chlamydiaceae	microtile	antennular	methylamphetamine	cybergovernment	swimmeret	attogram	unichromosomal	circumesophageal	eculizumab
subperiosteal	periosteum	medially	styloid	osteotomy	meniscal	olecranon	condylar	laceration	patella	contracture	aponeurosis	condyle	clavicle	scaphoid	articular
gammadion	carven	caryatid	ephemeron	limply	deianira	upraised	kitsune	tentacled	stinkweed	monobosom	ankh	blear	gnoll	arced	unmorphed
magazine	inquirer	byline	newspaper	washingtonian	reportorial	columnist	journalistically	editor	newspaperman	rain	laudatory	opinionated	journalistic	unvarnished	masthead
reenlist	civil_service	union	reemployment	pensionable	union_member	annuitant	reemploy	enlistee	civil	per	furlough	selective_service	depend	compensation	reenlist
agricultural	agri-food	agriculturally	farm	food_production	agronomy	agribusiness	livestock	farmer	agriculturalist	farm	dairying	agriscience	family_farm	urban_agriculture	agroecology

wit	testify	testimony	cross-examination	cross-examine	expert_witness	accuser	juror	juror	exculpatory	subpoena	proffer	testimonial	jury	affidavit	rebuttal

large_city	skylines	sciuridae	lusikisiki	backdrop	bound	organizational_unit	quadrant	torulopsis	nematomorpha	nahor	superbug	9	deicer
shankara	bhajan	gharana	purana	kathakali	sampradaya	ghatam	mridangam	veena	sarod	rajasthani	dhol	bhakti	shastra	maki-e	vedanta

wheat	malt	lentil	durum	oat	chaff	millet	chickpea	thresh	emmer	einkorn	cereal	legum	tare	oils	canola
jalapeno	apricot	quesadilla	fricsay	flannelbush	checkerbloom
tsar	kremlin	aleksandr	romanov	yegor	commissar	czar	mikhail	yegorov	anatoli	segodnya	emissary	konstantin	autocrat	kgb	emperor
stint	a-list	downspout	chaebol	bong	minimalist	savor	eosinophil	supernova	tatars
tyche	theogony	daimon	maenad	chthonic	apollonian	orphic	dionysiac	personification	arete	androgyne	sophrosyne	aegina	homeric	fravashi	megarian
crustal	tectonism	orogeny	tectonic	unconformity	anticline	extensional	tectonically	graben	rift	deformational	subduction	lithospheric	syncline	seismogenic	plutonism
silent_film	jarka	monan	cabaret	nonactuarial	trivikram	veil	regift	3y	loveseat	comedian	screenplay	soprano	timber	matinee_idol	bhairav


diplomat	foreign	arabs	dictatorship	canadians	campaign	koreans	pakistani	muslim	african	asian	iranian	export	terrorist	protest	infidel
pestle	brick	shrapnel	grenade	unfired	rocket-propelled	bomblet	mortar	howitzer	m-16	bazooka	machine-gun	sandbag	armor-piercing	hand_grenade	m1
rout	circuitous	detour	trail	reroute	milepost	routed	trailhead	westbound	two-lane	eastbound	detour	travers	switchback	traverse	campsite
welk	summers	erlbaum	lessig	seaway	orans	krauss	weschler	stanford	gallen	clerk	archdruid
long-handled	outhole	unscrew	jack-knife	chrysocolla	ovenproof	zaki	uncased	unclose	kenati	sennit	genus_allium	toilet-paper	rectilinearly	watter	rootball
tyrannosaur	aphodiinae	teleost	moron	enoclerus	rhabdophis	dastan	dicerorhinus	trochilidae	viverricula

chair	panhellenic	ambassador	councilor	council_member	executive_board	council	city_council	cochair	councillor	rha	non-voting	advisory_board
retailer	retailing	wholesale	hypermarket	wholesaler	big-box	store	grocer	7-eleven	mom-and-pop	supermarket	discounter	merchandiser	sale	shopper	supermarket

proprioceptive	vestibular	oculomotor	postural	sensorimotor	visuomotor	somatosensory	musculature	extraocular	saccadic	electromyographic	neuromuscular	innervation	vergence	motoneuron	kinaesthetic




archivist	monument	kasuga	archival	access	public_record	access	archivally	presidential_library	preservation	yoshitomo	nagara	microfilm	declassification	microfilm	shinto
