mayfly	chironomid	simulium	ephemeroptera	diptera	killifish	cyprinus	phalacrocorax	mosquitofish	trematode	herbivorous	insectivorous	chub	sunfish	piscivorous	salvinia
sorceress	enchanter	necromancer	sorcery	warlock	conjurer	bewitched	ghoul	djinn	elven	elvish	magician	wizarding	undead	basilisk	diabolic

aphrodisiac	syncarpous	bouyei	epipetalous	epacris	apocynaceae	dretful	moraba	doodia	hyposoter	grifola	meglitinide	homopteran	jasminum	schizocarp	saponin

artificial	artificial_intelligence	vector_graphics	turing	connectionist	inferencing	algorithmic	genly	searl	heuristic	machine_learning	computability	prolog	computer_game	epilog	insemination

dressage	horsemanship	warmblood	duathlon	showjumping	roping	bronc	equestrian	steeplechase	motocross	shoeing	heptathlon	pentathlon	bulldog	skijoring	appaloosa

manhunt	saboteur	arresting	suspect	red-handed	incriminating	undercover	spying	snitch	kidnapper	mastermind	terror	fbi	fugit	nab	spook

rhyolite	graben	valles	pyroclastic	tuff	dacite	breccia	anticline	basaltic	scarp	volcaniclastic	terrane	ultramafic	mafic	orogeny	clastic

decant	coupler	healthy_lifestyle	bastard	handlebar	lyricist
sherd	amphora	neolithic	ceramic	lithic	earthenware	prehistoric	archaeologically	midden	excavation	archaeological	potsherd	stoneware	faience	radiocarbon	magdalenian
tandemly	paralogous	cons	homolog	exon	repeat	electrophoretically	pogonophora	macronuclear	restriction_endonuclease	florida	polymorph	intraspecies	euchromatic	flatworms	protoctist

x-ray_diffraction	crystallographic	crystallography	laue	sax	scattering	wurtzite	photoemission	diffractometer	crystallization	diffract	tetragonal	photoelectron	crystal	monochromator	interatomic
arborist	arborist	arboricultural	tree_planting	tree_farm	planner	forest	groundskeeping	lawn	hardwood	orchard	plant	trees	horticultural	silviculture	interior_design
foxtail	amaranthus	sicklepod	purslane	cocklebur	redroot	nightshade	weeds	panicum	brome	portulaca	goosegrass	bindweed	broadleaf	trifolium	lupinus
bilateral	deepening	nonaligned	convening	multistakeholder	multilaterally	bilaterally	nuclear-free	communique	tunis	multilateralism	detente	secretary-general	enlargement	ministerial	flank
ridley	steve	dave	pakin	duffie	burris	harshbarger	simpkins	bourcier	helbing	pelley	smith	hanson	jay	josh	miller
enroll	disenroll	capitated	hmo	copayment	copay	fee-for-service	healthwise	co-insurance	precertification	nonparticipating	coinsurance	deer	adh	mho	capitation

daywear	sweater	single-breasted	crewneck	charmeuse	overcoat	sheepskin	sweatshirt	trousers	shirt	zip-up	strap	undergarments	museophile	pelisse	moccasin
grapple	grappling	ponder	shrug	unafraid	flinch	confront	nagging	wrestling	conundrum	life-and-death	head-on	quandary	predicament	loathe	do-or-die
depend	credits	grandparents	debt	teens	adopt	voucher	guardian	subgroup	unemancipated	exempt	exact	bequest	voter	custodian	husband
melodic	sonority	ostinato	chordal	trill	intervallic	contrapuntal	couplet	fugue	caesura	polyphonic	arpeggio	enjambment	polyphony	staccato	aria
aristocrat	nobility	aristocratic	plantagenet	baronet	nobleman	peerage	courtier	plebeian	aristocracy	viscount	lordly	haughty	marquess	vassalage	royalist
watertight	cofferdam	seawall	deck	midship	i-beam	waterline	revetment	joist	planking	precast	handrail	riprap	sheathing	abut	noncombustible
foodstuff	snack	sandwich	coupon	dessert	perish	sweets	ration	starches	salad	blanket	cosmetics	meal	crackers	spread	carton


somerset	windsor	cumberland	hillsdale	guernsey	somer	plainfield	cooper	rockland	taunton	seaford	newtown	blackrock	abington	hewitt	newmarket

bondholder	securitization	securitized	debenture	callable	creditor	issuance	collateralized	bank_card	nonrepudiation	creditworthy	interest_rate	filer	refunding	bid_price	chaum
two-piece	one-piece	ferrule	flange	eyelet	stiffener	bushing	soldered	tension	waistband	neckline	longeron	drawstring	mandrel	platen	d-ring
nationalize	nationalisation	expropriation	privatise	expropriate	privatize	nationalise	privatization	state-controlled	privatisation	oligarch	land_reform	agrarian	deregulate	parastatal	serfdom

crescent	tropilaelaps	dismiss	green-white	zari	broider	coact	tricolore	single-breasted	drugget	skirmisher	sumangala	cointension	flesh-coloured	ataman	organophilic
harlot	fornicator	fornication	lewdness	temporal	lasciviousness	kind	adulteress	corporal	sin	appear	uncleanness	blasphemously	jezebel	lack	ravished
suit	lim	network_management	open-plan	customizable	software_application	state-of-the-art	data_management	enterprisewide	navis	toolset	bespoke	uniface	configurable	management	guestroom
caddo	siouan	hidatsa	cahokia	caddo	arikara	iroquoian	algonquian	mississippian	quapaw	choctaw	lifeway	athapaskan	salish	potawatomi	cahuilla



tidal	new_wave	tide	oscillation	runup	amplitude	soliton	oscillating	turbulence	baroclinic	brain_wave	ebbing	barotropic	p-wave	s-wave	electromagnetic


chaste	benignity	unmerited	authoress	blessedness	adored	better	loftiness	womankind	kindliness	amiable	contentment	magnanimity	contented	touchingly	matrimony
ageratum	clethra	heartsease	osmanthus	harebell	winterberry	bellwort	helenium	tiarella	celosia	monarda	white-flowered	convallaria	zinnia	zinnia	rosehip
drinking_water	undrinkable	drunk	drinkable	imbibing	alcohol-free	underage	potable	drink	alcohol	sewage	binge	safe	drunkenness	thirsty	shebeen


temporal_lobe	astrophysicist	co-author	regatta	lectureship	cheater	winnings	goldfinch	orsa

toxic_shock	shock_wave	electric_shock	cardiogenic	jolted	endotoxic	suddenness	anaphylactic	jolt	reel	collapse	hypovolemic	numb	shocked	recoil	buffeting


graft	micropropagation	transplanting	plantlet	autograft	vegetatively	rootstock	regrow	prune	transplant	callus	embryogenic	seedless	protoplast	explant	cambium
claudius	brutus	pompeius	gaius	agrippa	galba	silius	flavius	hadrian	agrippina	imperator	sulla	croesus	titus	procopius	drusus
background	star-forming	hii_region	magellanic	cloud	auroral	life_story	ionized	bronfenbrenner	qualitative	interviewee	foreground	hermaphrodism	nonopaque	synaesthesia	depersonalization
baster	turkish	izmir	adana	greece	butterball	turk	cyprus	kemalist	demirel	marmara	bulgaria	turgut	mediterranean	giblet	derviş
staircase	stair	passageway	stairwell	handrail	parapet	entranceway	vestibule	doorway	walkway	archway	alcove	arched	gatehouse	entryway	panelled
printmaker	barbizon	draughtsman	impressionist	watercolorist	painter	miniaturist	titian	lithographer	water-colour	engraver	bonnard	portraiture	painter	rouault	fauvism

repressurize	hydrogen_sulphide	nitrogen	ma'anit	hydrogen_bomb	ammonia	hypercatabolic	vaterite	ultrafiltered	gas_mask	mixed_oxide	gas_pump	gas_exchange	gass	shoppe	paleothermometer
audio	videotape	streaming	clip	videocassette	videodisc	video_production	videotaping	audiotape	video_game	closed-captioned	multimedia	videographer	taped	vcr	time-lapse

virginia	annapolis	delaware	chesapeake	statewide	john	calverton	county	montgomery	state	state_school	kentucky	cumberland	terp	community_college

clicking	drop-down	dropdown	clickable	homepage	double-click	right-click	pull-down	button	left_hand	sidebar	checkbox	browse	click	double-click	menu
vassal	suzerain	frankish	protectorate	fief	principality	dynastic	overlordship	maratha	seleucid	kingship	mongols	khanate	avar	habsburg	conqueror
indexed	paasche	databook	index	indic	indexing	refractive_index	cpi	price_index	alphabetized	unindexed	reindex	indexer	browsable	backfile	cross-refer
sonographic	echocardiogram	ultrasonography	sonography	transvaginal	ultrasonographic	ultrasound	electrocardiogram	sonograph	palpate	ekg	angiogram	fundus	colposcopic	cystoscopy	testicular

cassie	gaby	kerrigan	bobbi	stark	hunky	okey	stellan	myrna	germaine	pelzer	cagney	maxi	rowlands	nolte	duddy
cromwell	monarchist	roundhead	whig	usurper	lancastrian	revolt	loyalist	hanoverian	jacobite	foment	leveller	mutinous	revolutionist	jacobin	monarchical

programmable	multicore	microcontroller	reprogrammable	processor	mips	microarchitecture	reconfigurable	circuitry	transputer	dram	risc	miniaturization	chip	microprocessor	transistor
invest	capital_market	working_capital	reinvest	capital_expenditure	investment	reinvest	outlay	capital_gain	reinvest	capex	recapitalization	capital-intensive	capital_cost	invest	depreciate
gees	sparrow	winter	songbird	blackbird	flightless	beak	coot	godwit	roost	perching	thrush	vultur	gallinaceous	ornithologist	grackle
exercising	exerciser	workout	strenuous	treadmill	exert	stamina	aerobic	endurance	fitness	quadricep	weight-bearing	jogging	self-control	aerobics	vigorous
britain	england	rulership	france	monarchy	reign	kingship	king	principality	kingly	united	earthly	frankish	christendom	animal_kingdom	theocracy

raphanus	cereal	secale	cerastium	lepidium	aucuba	hordeum	vicia	vulgar	medicago_sativa	brassica	dactylis	triticum_aestivum	echinochloa	trifoliata	quackgrass
praising	laudatory	commendation	commend	encomium	laud	fulsome	effusive	praiseworthy	deserved	adulation	flattery	graciousness	deservedly	worthy	eulogist
bachelor	degree_program	associate_degree	cag	bachelor	postbaccalaureate	licentiate	baccalaureate	doctoral	preprofessional	master	diploma	bsc	coursework	doctorate	mals
asuncion	curitiba	brazilian	porto	uruguayan	brazil	este	amazona	argentinean	henrique	brasil	paraguayan	sucre	ecuadorian	merida	bolivian
selberg	mainchain	paramagnetism	halfwave	uniaxially	dorati	pyroxenes	russellian	sondes	comodule	cartesian	unreceipted	mendelevium	feldspar	k41	russellian
faster-than-light	qubit	wormhole	teleport	subatomic	quantum	decoherence	tachyon	eavesdropper	graviton	superluminal	telepathy	quantum-mechanical	teleport	qed	massless

homeric	crete	hellenistic	antiquity	sophocles	greek-speaking	ancient	graeco-roman	hellenism	cicero	roman	alexandrian	dionysius	hellenic	aegina	plato
bachelor	degree	associate_degree	doctorate	b.a.	postbaccalaureate	degree_program	business_administration	preprofessional	master	major	major	cag	baccalaureate	minor	bs
medline	crossref	scopus	e-journal	highwire	searchability	e-resource	self-archiving	backfile	abstract	biosequence	searchable	beilstein	journal	doi	searching
green_party	green_room	green_belt	leafy	beret	green_revolution	green_building	green_light	blue	green_paper	magenta	blue-green	eyeshade	greening	purple	blue-black
whore	flirt	raunchy	bitch	naughty	prude	bimbo	fag	dominatrix	nubile	kinky	misogynistic	slutty	prostitute	flirting	risque
bhai	meron	bhairav	shirish	balaji	loun	vardhan	shankara	bashi	kushi	balakrishna	khuda	pantelis	sandesh	catalani	daksha
haulage	railcar	tonne	cartage	semitrailer	tractor-trailer	trucker	railway	hauler	truck	semi-trailer	motorway	larn	lorry	stolt	offload
sadak	mensheviks	budukh	indonesian	despot
converting	converted	conversion	converter	unconverted	convertor	energy_conversion	evangelize	christianity	data_conversion	jadoo	format	buy	cmyk	raw	believer
swashbuckling	fade	plucky	roguish	slow-witted	burly	berserker	outrider	swaggering	beefcake	mauler	musketeer	harpooner	ragamuffin	cutlass	villainous


gambling	gambler	jackpot	wager	wager	wager	bettor	lotto	betting	gaming	blackjack	riverboat	keno	racetrack	caesar	bordello

racecourse	filly	thoroughbred	steeplechase	regatta	kentucky_derby	preakness	newmarket	racing	racetrack	battersea	racehorse	clydesdale	brougham	wight	unbeaten
bookkeeper	double-entry	secretarial	accounting	accountant	stenography	ledger	checkbook	clerical	cashiering	computer	clerk	acct	keypunch	receivable	routine

xanthine	caesium	halflife	prodrug	nuclide	nitration	organomercurial	renal	plicamycin	anthracene	inosine	freebase	thallium	glucuronidation	formate	long-acting
twopence	sixpence	shilling	shill	pedlar	threepence	stationer	door	ploughman	gain	fourpence	worshipful	farthing	found	keep	half
scone	iced	tea	cake	muffin	toasted	teatime	sweetmeat	sip	sipping	breakfast	stewed	chutney	toffee	kebab	savoury
oxymoron	decant	flybys	buffoon	occur	geochemist
midshipman	captain	gallant	gallantry	lieutenant-colonel	lieutenant	seaman	usn	boatswain	hoist	dragoon	aide-de-camp	colonelcy	squadron	purser	flotilla
sprocket	pinion	bobbin	bakelite	one-piece	pellicle	armature	pneumatic	machined	two-piece	ferrule	contraption	pivot	pewter	grooved	stamper
netmail	web_mail	owa	email	inbox	calendar	e-mail	thunderbird	outbox	address_book	hotmail	emailer	email_address	gmail	autocomplete	ical


bumper	jorgenson	knoll	lowman	bain	standley	swain	weidner	mail	underwood	meadow	hanson	simpkins	honeycutt	vernie	wahlquist

link	hyperlink	clickable	browsable	homepage	glossary	sidebar	webliography	hyperlink	bookmark	subpage	webpage	home_page	hotlist	subtopic	printer-friendly


saponin	glossophaga	glycolipid	lignin	allium	periblast	phenol	quinkan	typologist	herbalist	pollachius	croissant	hoser	neurohemal	philosophes	muffin
dung	rockfish	lobster	crabber	terrapin	scallop	flatfish	bluefish	gillnet	abalone	redfish	menhaden	anchovy	clam	mackerel	seabird

babu	akhtar	mani	raja	rani	sahib	chitra	puri	hari	maharaja	bhai	aditya	gaya	kali	nizam	amrita
carbon	turpentine	bitumen	kiln	linseed	sawdust	briquette	roasting	stove	charred	paraffin	tallow	kerosene	dried	carbonization	boiled
by-product	pendimethalin	cereal	distil	starches	legum	pelleted	nonedible	grain	kamut	fishmeal	pellet	weedkiller	cavia	soybean	feedstuff
tutankhamen	pharaoh	tut	mummy	egyptologist	necropolis	abydos	amenhotep	rams	mummification	pharaonic	tomb	pyramid	karnak	sargon	b.c.e.


sarvastivada	bhaskara	pythagoreanism	apastamba	prakrit	semitic-speaking	scholae	sanskrit	brahmana	tantrism	cissoid	sumangala	panchadasi	magadha
visible	retroreflective	opacity	conspicuity	prominence	increased	elevate	fog	enhanced	cloudiness	heighten	headlamp	heightened	significant	awareness	presence




charitable	voluntarism	benevolence	almsgiving	benevolent	zakat	tithing	philanthropy	altruistic	cumber	self-denial	beneficence	disinterestedness	needy	philanthropic	meanness
customer_service	customer_care	cross-sell	self-service	upsell	cross-selling	after-sales	crm	companywide	automation	call_center	help-desk	outsourcer	touchpoint	differentiator	marketing

lybrand	cooper	touch	accounting_firm	blue-chip	consulting_firm	llp	management_consulting	ftse	kleinwort	consult	cfo	consultancy	marwick	scient	investment_firm


lithic	midden	burin	microlith	chert	fossiliferous	subfossil	mousterian	calcrete	varve	disarticulated	mesolithic	ediacaran	microfossil	radiolarian	acheulean

mutarotation	sorbet	candlestick	typedef	tricyclic_antidepressant	opt	push-up	acalymma	starlet	surrounds	subesophageal	flip-flops
prove	prove	disprove	adduce	zero-knowledge	irrefutable	provable	conjecture	admissible	disproof	evidence	substantiating	verifying	rebut	unprovable	handwriting
open_source	gnome	open-source	cross-platform	distro	closed-source	write	natively	wysiwyg	microsoft	gimp
feeble	weariness	mortification	insensible	insensibility	coldness	indolence	sensitiveness	self-command	imbecility	enervated	equanimity	unwonted	impetuous	prostration	impatience
afl-cio	unionized	iww	unionize	unionization	unionism	union	nonunion	steelwork	steelwork	trucking	afl	nlrb	labor_union	wobblies	maquiladora

hostility	dissension	enmity	rancor	antipathy	antagonism	acrimony	resentment	divisiveness	recrimination	discord	resent	disunity	disunion	acrimonious	distrustful
geophysics	seismology	sedimentology	petrology	geochronology	geochemistry	tectonics	glaciology	geomorphology	paleomagnetism	volcanism	geophysicist	paleoceanography	paleogeography	stratigraphy	ophiolite

slough	portage	incline	bending	southeasterly	frontage	southerly	eastward	northwesterly	creek	oxbow	heave	southwesterly	southward	westerly	knee
monographic	killer	serially	barcoded	cataloged	baud	rapist	backfile	audio-book	barcode	serial	cryptanalyst	microform	cataloging	cutter	sudoc
glutamic	asparagine	methionine	valine	threonine	leucine	arginine	aspartic	histidine	oleic	betaine	nicotinamide	isoleucine	alanine	linoleic	glycosylation
rootkit	antivirus	spyware	zero-day	malicious	unpatched	ddos	botnet	phishing	antispam	virus	computer_virus	w32	antispyware	adware	spoofed


poem	poet	doggerel	haiku	literary	anthology	poetic	sonnet	prose	poetics	poems	essay	chapbook	poetry_slam	bardic	iambic
marketing_research	market_share	market_analysis	e-marketing	outsell	psychographic	market_research	marketing	market	marketer	internet_marketing	comparison-shop	npd	analytics	industry_analyst	forrest
placket	shirring	camisole	two-piece	tankini	v-neck	frilled	elastane	goldtone	neckline	snuggly	miter	overcoat	twill	wrinkle-resistant	slingback

goshawk	marmot	census	crabeater	pileated	sapsucker	vireo	ornithology	yellow-bellied	fulmar	ursus	plover	gull	molothrus	woodpecker	coatimundi
instability	rapprochement	intensifying	antagonism	defuse	destabilization	unrest	discord	confrontation	fuelled	disharmony	turmoil	counterweight	intensified	heightening	stabilizing
system_administrator	administrators	network_administrator	assistant	authorizer	administrate	superintendent	manager	postmaster	coordinator	administrative	associate	administer	presidentially	superintend	custodian

positive_feedback	occur	subconcept
powerpoint	presentation	viewgraph	slide	handout	slideshow	present	powerpoint	presenter	whiteboard	corkboard	preview	power_tool	print	webinar	camera-ready
airspeed	upwind	headwind	gusty	gust	wind	gust	downwind	subsonic	downdraft	yaw	dropsonde	aileron	reef	windward	capsize
michif	tsimshian	uto-aztecan	na-dene	athapaskan	salish	siouan	iroquoian	sanskrit	algonquian	dhegiha	tlingit	patwin	kwakiutl	kriol	austro-asiatic
collect	access	access	cataloged	bibliographer	manuscript	monographic	library	catalogue	collector	data_collection	collecting	collections	archival	catalog	microfilm

spaniel	cocker	mastiff	dachshund	sheepdog	hound	rottweiler	lassie	collie	pooch	doberman	sheltie	poodle	gamekeeper	pinscher	leash
psychedelia	lsd	psilocybin	hallucinogen	hallucinogenic	counterculture	mind-altering	hypnotism	hallucinatory	counter-culture	mystical	countercultural	trance	ketamine	spiritism	synchronicity


towhee	pipit	spizella	yellowthroat	bobolink	finch	ovenbird	tanager	coccyzus	tringa	mycteria	picoides	nightjar	totanus	dowitcher	nuthatch
darkness	sunlight	illumination	illuminated	darkened	glare	glow	lamp	refract	dark	flickering	shed	dim	darkening	flashing	unlighted
hillbilly	honky	wrangler	buckaroo	dukes	boondock	spunky	shaka	four-door	warren	dishy	escalade	yearwood	toff	roadster	motorsport
silverware	tableware	kitchenware	crockery	cookware	dinnerware	flatware	dishware	pewter	tablecloth	glassware	knickknack	bric-a-brac	lacquer	utensil	confection
funky	jazzy	edgy	rootsy	laid-back	hipster	soulful	offbeat	peppy	fave	lo-fi	catchy	effervescent	remix	classy	spunk
alabama	kentucky	tennessean	tupelo	georgia	cumberland	missouri	bottomland	shelbyville	roane	appalachia	appalachian	confederate	macon
farthest	paolini	sorceress	sorcerer	fairytale	rapunzel	faerie	enchanter	bewitched	stuck-up	necromancer	heder	heroine	wizarding	fairy-tale	twelve-year-old
y2	σ	x0	coplanar	ψ	collinear	undoped	ordinate	descender	θ	jth	non-negative	xz	reciprocatory	trigonal	q0
catholic_church	roman_catholic	protestant	church	catholic_school	catholicism	non-catholic	archdiocese	diocese	episcopalian	churchgoer	episcopal	diocesan	seminarian	anti-catholicism	interdenominational
baobab	ficus	greenery	bougainvillea	hibiscus	paperbark	frangipani	jacaranda	mossy	bodhi	gardenia	leaved	creeper	begonia	protea	pawpaw
socialistic	exploiter	propertied	laboring	toiler	capitalistic	communistic	plutocrat	revolutionist	laborer	labourer	plutocracy	servile	downtrodden	avaricious	cupidity
lore	colden	aphra	mabie	neal	reginald	currier	zora	brice	balladeer	steel	stanhope	shelbyville	hatti	erastus	shang
knapper	quelea	pumbaa	amazonian	grandaunt	wagtail	gambol	globetrotting	howdy-do	possum	cuddler	bromberg
understanding	perspective	valuable	glean	invaluable	insightful	in-depth	gain	theoretical	illuminate	explore	analytic	illuminating	wide-ranging	profound	emerging


disjunction	predication	conjunctive	disjunctive	signifier	signification	tautology	reducible	finitude	posit	existentially	entailment	presupposition	ontological	syllogism	alterity
market_research	analytics	marketing	internet_marketing	e-marketing	marketing_mix	psychographic	market_analysis	marketing_strategy	interactive_marketing	direct_marketing	quantitative_research	email_marketing	vivid	database_marketing	world_market
temblor	earthquake	aftershock	seismologist	twister	bhuj	epicenter	mainshock	seismograph	microquake	mudslide	epic	tremor	minesweeper	epicentre	panic-stricken

ranitidine	colestipol	maleate	rifadin	loperamide	prokinetic	cholestyramine	antimotility	famotidine	antacid	probenecid	nizatidine	cimetidine	nsaid	flagyl	miconazole
brittleness	acid-free	fragile	friable	ductile	flaking	embrittlement	deacidify	discolor	yellowed	breakage	silk	thin	corroded	crumble	misshapen
forward-thinking	leading-edge	high-potential	network	tech-savvy	strategize	cofounder	webinar	companywide	morino	partner	ase	meckler	information_industry
glengarry	cove	berwyn	killarney	aberdeenshire	clifton	cade	woodbine	watkin	wharf	meadow	loch	inverness	interlake	glen	lapeer

exfoliation	epidermis	cuticle	epidermal	keratin	dermis	exudate	sloughing	mucilage	epithelium	hydrophilic	meshwork	ichthyosis	algin	waxy	collagenous
multiprocessing	multithread	bootload	reprogrammable	microcontroller	superscalar	programmability	event-driven	schedulability	userspace	multithreading	blit	multithreaded	hyper-threading
celia	liliana	luisa	eugenio	francesca	ambrosio	cristina	juana	dona	sabina	bernadette	therese	pilar	mayra	sabrina	lorena
hangtag	sticker	affixed	affixing	wristband	preprint	vehicle	stick-on	placard	logotype	i.d.	license_plate	vehicle_registration	wordmark	ticket	bowhunting
decaffeinated	latte	cappuccino	mocha	caffeinated	espresso	sugar-free	applesauce	fizzy	soymilk	muffin	sugared	smoothie	iced	brule	juicer



safe	harbor	tranquility	sanctuary	safe_harbor	tranquil	waterbury	unhindered	secluded	waterfront	westport	sheltered	flee	emboldened	harbor	refuge
converging	bifurcation	hyperbola	homoclinic	geodes	hopf	flattening	s-shaped	discontinuity	keplerian	singularity	brane	intersecting	4-dimensional	outwards	submanifold
oilfield	oil_field	gasfield	wildcatter	oil_company	oil_shale	gas_pipeline	unleased	woodside	natural_gas	leaseholder	midcontinent	operatorship	oil_industry
sixpence	halfpenny	shilling	shill	farthing	behalf	fourpence	keep	bairn	wench	cobbler	soon	half	afore	threepence	ninepence
hydroelectric	impound	hydropower	spillway	impounding	dam	dam	reservoir	tailrace	dam	fishway	reservoir	river	tailwater	impoundment	aqueduct
spelling	incant	sorcerer	spell	magic	incantation	misspell	sorcery	spellcheck	misspelling	magical	pronunciation	spell-checker	cur	rune	trick
prime	minister	obuchi	meles	foreign_minister	hashimoto	primakov	ministership	ebeid	taoiseach	badawi	recep	bihari	horta	finance_minister	minster
embank	berm	embankment	riverbed	seepage	impound	spillway	revet	floodwater	gulli	lahar	abutment	swale	riprap	streambed	pyroclastic

yeerk	sauropod	kestrel	mosasaur	opt	spook	orangutan	hedgehog	mosquito	light_scattering
sinocentric	nativism	separatism	postnational	hegemonism	anticolonial	barsamian	anti-russian	racialism	botlikh	croats	herrenvolk	reassertion	irredentism	tribalism	fujiki
saturnian	mars	charon	uranus	moon	venusian	aphelion	europa	uranian	perihelion	neptune	pisces	elysium	dione	planum	lunar
predecessor	heir	devolve	succession	abdication	papacy	ascendency	chancellorship	concordat	vested	chairmanship	presidency	relinquished	relinquishing	succeeding	angevin
midland	east_midland	shropshire	worcestershire	guildford	grampian	glamorgan	tee	pennine
eprint	schema	muin	fennel	reparse	implement	map	adaptogenic	opac	autogeneration
gnocchi	braised	tangy	arugula	deep-fried	vinaigrette	chutney	polenta	garlicky	sauteed	marin	prosciutto	ravioli	crispy	appetizer	tarte
shropshire	glamorgan	aberdeenshire	tyne	coventry	ayrshire	worcestershire	midland	exeter	argyll	dorset	peterborough	northumbrian	shire	guildford	glasgow

national_guard	guard	patrolled	uniformed	patrolling	guardsman	military_police	sentry	guard	guardhouse	patrol	escort	barrack	reservist	coast_guard	duty
boson	electroweak	meson	supersymmetric	gluon	kaon	baryon	nucleon	fermion	hadronic	fermionic	antiparticle	pion	qcd	hadron	gev
alternation	half-duplex	discontinuity	non-interactive	timestep	saccade	mutability	oscillatory	bidirectional	push-pull	actuating	unidirectional	interleave	nonsimultaneous	mismatch	alternatively


tube	stopcock	flange	cannula	gasket	tension	casing	mandrel	hydraulically	plunger	pneumatic	pressurization	contactor	catheter	riser	canister


misfeasance	wrongdoing	mishandling	mismanagement	cronyism	incompetence	egregious	scandal	maladministration	irresponsibility	cover-up	lawbreaking	nonfeasance	flagrant	wrongdoer	nepotism

gangrene	rheumatism	dropsy	catarrh	apoplexy	diaphoretic	hemoptysis	pericarditis	peritonitis	gangrenous	cellulitis	suppuration	gout	ague	sciatica	decoction
portulaca	weeds	amaranthus	pigweed	parsnip	panicum	foxtail	annual	eupatorium	vulgar	grass	digitaria	cocklebur	fleabane	rubus	cucurbita
checkerbloom	decant	manrico	treefish
chlamydiaceae	antennular	cybergovernment	microtile	methylamphetamine	swimmeret	attogram	unichromosomal	eculizumab	circumesophageal
subperiosteal	osteotomy	periosteum	scaphoid	ligamentous	styloid	tibial	medially	meniscal	volar	condyle	laceration	condylar	glenoid	femoral	transection
carven	caryatid	tentacled	ephemeron	gammadion	deianira	stinkweed	kitsune	ankh	upraised	gnoll	limply	halfling	loxodon	unmorphed	hypsignathus
magazine	byline	editor-in-chief	e-zine	editorship	newspaper	editorially	webzine	washingtonian	utn	sportswriter	editor	columnist	newsstand	newsy	spotlighting
civil_service	reenlist	union	reemployment	pensionable	union_member	annuitant	civil	reemploy	enlistee	per	furlough	selective_service	depend	multiemployer	postretirement
agricultural	farm	forestry	agribusiness	agriculturally	agri-food	usda	arable	farm	cultivable	farmer	nonagricultural	agro	agriculturalist	agroecological	soil_conservation

wit	testify	testimony	cross-examination	cross-examine	admissible	inadmissible	prosecution	evidentiary	accuser	testimonial	expert_witness	exculpatory	admissibility	plead	acquit

skylines	large_city	lusikisiki	sciuridae	bound	quadrant	organizational_unit	backdrop	nematomorpha	torulopsis	nahor	superbug	deicer	9	senaru
shankara	bhajan	veena	gharana	dhol	sarod	rajasthani	mridangam	ghatam	shastra	durga	monogatari	kathakali	maurya	vedas	banara

wheat	malt	durum	sorghum	oat	chickpea	tare	lentil	millet	triticum	corn	canola	rye	quinoa	grain	goatgrass
jalapeno	quesadilla	apricot	fricsay	flannelbush	riyam
tsar	commissar	yegor	primakov	yevgeny	anatoli	oligarch	behest	czarist	romanov	kgb	drug_war	konstantin	aleksander	czarina	tsarist
stint	downspout	a-list	bong	savor	chaebol	minimalist	supernova	eosinophil	tatars
tyche	daimon	theogony	chthonic	apollonian	maenad	personification	orphic	dionysiac	arete	sophrosyne	homeric	aegina	androgyne	eunomia	satyr
crustal	orogeny	tectonism	anticline	tectonically	graben	tectonic	extensional	accretionary	unconformity	lithospheric	terrane	scarp	compressional	deformation	nappe
silent_film	jarka	monan	cabaret	nonactuarial	trivikram	veil	regift	3y	loveseat	soprano	comedian	matinee_idol	screenplay	timber	bhairav


support	muslim	arabs	politician	diplomat	protest	campaign	govern	canadians	communist	dictatorship	foreign	export	pakistani	heavyweight	reform
pestle	brick	artillery	shelling	small-arm	rocket-propelled	brick	patrol	shelled	mortar	ied	gunfire	firing	anti-aircraft	rpg	asphalt
rout	circuitous	travers	destination	waypoint	traverse	travers	routes	path	crossing	detour	northwards	northward	northbound	stopover	reachability
welk	erlbaum	summers	seaway	orans	lessig	doty	laird	barrow	baldwin	emmet	coakley
long-handled	outhole	unscrew	jack-knife	chrysocolla	zaki	ovenproof	kenati	genus_allium	unclose	stinkweed	uncased	sennit	watter	unstuff	fade
tyrannosaur	aphodiinae	trochilidae	teleost	enoclerus	moron	rhabdophis	ural

chair	councilor	ambassador	school_board	council_member	panhellenic	council	executive_board	advisory_board	city_council	cochair	frosh	councillor	non-voting	dean
retailing	retailer	hypermarket	sale	store	wholesale	shopper	big-box	supermarket	mail-order	discounter	wholesaler	point-of-sale	low-priced	merchandiser	midsized

proprioceptive	vestibular	postural	sensorimotor	oculomotor	visuomotor	electromyographic	somatosensory	biomechanical	musculature	saccadic	neuromuscular	extraocular	vergence	dorsiflexion	nystagmus




archival	archivist	retrievable	declassification	access	microfilm	declassified	safekeeping	public_record	access	archive	reformatting	microfilm	unclassified	archived	microform
steed	gallop	gallop	gallop	dismount	trotting	charioteer	horse	chariot	horseback	ridden	riderless	bridle	cavalryman	caparisoned	hitch

thermoregulatory	osmoregulation	ectotherm	thermogenesis	warm-blooded	ingestive	physiological	ectothermic	bioenergetic	locomotor	acclimation	physiologic	homeostatic	locomotory	homeostasis	oviparous
